DCCODE,OrderDate,DeliveryDate,,StoreCode,StoreName,STO,STOLine,Article,ArticleName,CLD,CLDEA,IN,INEA,EA,,,EAN,Route,Stop,Priority,StorageCondition,Wave
9899,20220328,20220329,1,2519,MY STORE 001,29298959,1,207301,Article Description,1,12,3,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,2,207302,Article Description,1,4,2,2,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,3,207303,Article Description,1,16,5,3,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,4,207304,Article Description,3,12,9,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,5,207305,Article Description,1,2,2,1,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,6,207306,Article Description,5,1,5,1,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,7,207307,Article Description,2,24,12,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,8,207308,Article Description,1,10,10,1,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,9,207309,Article Description,1,3,1,2,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,10,207310,Article Description,1,4,2,2,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,11,207311,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,12,207312,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,13,207313,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,14,207314,Article Description,2,8,4,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,15,207315,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,16,207316,Article Description,1,6,1,4,2,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,17,207317,Article Description,1,4,1,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,18,207318,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,19,207319,Article Description,2,19,9,4,2,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,20,207320,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,21,207321,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,22,207322,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,23,207323,Article Description,1,10,2,4,2,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,24,207324,Article Description,1,11,2,4,3,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,25,207325,Article Description,1,12,3,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,26,207326,Article Description,2,2,1,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,27,207327,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,28,207328,Article Description,2,8,4,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,29,207329,Article Description,1,11,2,4,3,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,30,207330,Article Description,2,3,1,4,2,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,31,207331,Article Description,1,5,1,4,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298959,32,207332,Article Description,2,9,4,4,2,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,33,207333,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,34,207334,Article Description,7,9,15,4,3,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,35,207335,Article Description,2,9,4,4,2,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,36,207336,Article Description,4,9,9,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,37,207337,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,38,207338,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,39,207339,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,40,207340,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,41,207341,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,42,207342,Article Description,1,9,2,4,1,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,43,207343,Article Description,1,11,2,4,3,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,44,207344,Article Description,1,11,2,4,3,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,45,207345,Article Description,1,11,2,4,3,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,46,207346,Article Description,1,15,3,4,3,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,47,207347,Article Description,1,14,3,4,2,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,48,207348,Article Description,1,14,3,4,2,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,49,207349,Article Description,1,16,4,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,50,207350,Article Description,1,14,3,4,2,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,51,207351,Article Description,1,14,3,4,2,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,52,207352,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,53,207353,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,54,207354,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,55,207355,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,56,207356,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,57,207357,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,58,207358,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,59,207359,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,60,207360,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,61,207361,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,62,207362,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,63,207363,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,64,207364,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,65,207365,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,66,207366,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,67,207367,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,68,207368,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,69,207369,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,70,207370,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,71,207371,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,72,207372,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,73,207373,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,74,207374,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,75,207375,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,76,207376,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,77,207377,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,78,207378,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,79,207379,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,80,207380,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,81,207381,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,82,207382,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,83,207383,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,84,207384,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,85,207385,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PMC,20220414
9899,20220328,20220329,1,2519,MY STORE 001,29298960,86,207386,Article Description,1,8,2,4,0,0,0,9.52564E+11,R1,1001,P1,PFT,20220414
